id_str,week,country_or_territory,class_baseline,country_code,class_attnthree,class_attnmerged,class_attntwo
1296256359252385792,w34,United States,No,USA,Don't know,No,No
1296256333327601664,w34,Colombia,No,COL,Don't know,No,No
1296256307884777472,w34,Argentina,Yes,ARG,Yes,Yes,Yes
1296256184115171328,w34,Colombia,Yes,COL,Yes,Yes,Yes
1296256092041809920,w34,United States,Yes,USA,Don't know,No,No
1296256029253140480,w34,Spain,Yes,ESP,Yes,Yes,No
1296255829818200064,w34,Argentina,No,ARG,Yes,Yes,No
1296255641162375168,w34,Saudi Arabia,Yes,SAU,Yes,No,Yes
1296255640948613120,w34,Canada,No,CAN,Don't know,No,Yes
1296255523138834432,w34,United Kingdom,Yes,GBR,Yes,No,Yes
1296255509553532928,w34,Colombia,No,COL,Don't know,No,No
1296255472018784256,w34,Brazil,Yes,BRA,Yes,Yes,Yes
1296255337431957504,w34,United States,No,USA,Don't know,No,No
1296255156816838656,w34,Colombia,Yes,COL,Don't know,No,Yes
1296255107751972864,w34,Cuba,Yes,CUB,Yes,Yes,Yes
1296255015854587904,w34,Peru,No,PER,Yes,No,Yes
1296254886481399808,w34,United States,Yes,USA,Yes,Yes,Yes
1296254499431079936,w34,Uruguay,No,URY,Don't know,No,No
1296254423614681088,w34,Indonesia,Yes,IDN,Yes,Yes,Yes
1296254421102362624,w34,China,Yes,CHN,Yes,Yes,Yes
1296254404191035392,w34,Portugal,Yes,PRT,Yes,Yes,Yes
1296254283298623488,w34,Argentina,No,ARG,Yes,No,Yes
1296254258350706688,w34,United States,No,USA,Don't know,No,Yes
1296254156731285504,w34,Colombia,Yes,COL,Don't know,No,Yes
1296254055962927104,w34,Japan,Yes,JPN,Don't know,No,Yes
1296254002074533888,w34,Brazil,No,BRA,Don't know,Yes,Yes
1296253936316424192,w34,United States,No,USA,Don't know,No,Yes
1296253918800904192,w34,United States,No,USA,Don't know,No,No
1296253906364837888,w34,United States,No,USA,Don't know,No,No
1296253903936401408,w34,United States,Yes,USA,Yes,Yes,Yes
1296253754086436864,w34,Peru,No,PER,Don't know,No,Yes
1296253752236802048,w34,United States,No,USA,Don't know,No,No
1296253723832983552,w34,Argentina,Yes,ARG,Yes,Yes,Yes
1296253722452844544,w34,United Kingdom,No,GBR,Don't know,No,No
1296253559575580672,w34,Argentina,Yes,ARG,Yes,Yes,Yes
1296253507528351744,w34,United States,Yes,USA,Yes,Yes,Yes
1296253457297338368,w34,Mexico,Yes,MEX,Yes,Yes,Yes
1296253453585362944,w34,Peru,Yes,PER,Don't know,Yes,Yes
1296253341228572672,w34,United States,No,USA,Don't know,No,No
1296253097124143104,w34,Mexico,Yes,MEX,Yes,Yes,Yes
1296252765862322176,w34,United States,Yes,USA,No,No,No
1296252720282849280,w34,Argentina,No,ARG,Don't know,No,No
1296252699135148032,w34,Mexico,Yes,MEX,Don't know,Yes,Yes
1296252659125620736,w34,Philippines,No,PHL,Don't know,No,No
1296252628377034752,w34,Mexico,Yes,MEX,Yes,Yes,Yes
1296252627202662400,w34,Canada,No,CAN,Don't know,No,No
1296252274826608640,w34,Indonesia,Yes,IDN,Yes,Yes,Yes
1296252219138990080,w34,Ecuador,No,ECU,Don't know,No,No
1296252060015394816,w34,Canada,No,CAN,Yes,No,No
1296251991111286784,w34,Cuba,Yes,CUB,Don't know,No,No
1296251950153924608,w34,Mexico,Yes,MEX,Yes,Yes,Yes
1296251921414709248,w34,Dominican Republic,Yes,DOM,Yes,Yes,Yes
1296251905283248128,w34,Mexico,Yes,MEX,Yes,No,Yes
1296251706272092160,w34,Nigeria,Yes,NGA,Yes,Yes,Yes
1296251635862081536,w34,United States,Yes,USA,Yes,Yes,Yes
1296251606061715456,w34,United States,No,USA,Don't know,No,No
1296251519990411264,w34,Panama,No,PAN,Don't know,No,No
1296251472510955520,w34,Portugal,Yes,PRT,Yes,Yes,Yes
1296251450343841792,w34,Mexico,Yes,MEX,Yes,No,Yes
1296251182684528640,w34,United States,Yes,USA,Yes,Yes,Yes
1296251170512498688,w34,Philippines,Yes,PHL,Yes,Yes,Yes
1296251123314176000,w34,Mexico,Yes,MEX,Yes,Yes,Yes
1296251100740419584,w34,Brazil,No,BRA,Don't know,No,No
1296250993286492160,w34,Spain,Yes,ESP,Yes,Yes,Yes
1296250988651839488,w34,Mexico,Yes,MEX,Yes,Yes,Yes
1296250878048034816,w34,Nigeria,No,NGA,Don't know,No,No
1296250789082607616,w34,United States,No,USA,Don't know,No,Yes
1296250763082108928,w34,United States,No,USA,Don't know,No,No
1296250751975600128,w34,Mexico,No,MEX,Don't know,No,No
1296250617078390784,w34,Egypt,Yes,EGY,Yes,No,Yes
1296250598418001920,w34,France,No,FRA,No,No,No
1296250598371729408,w34,Chile,Yes,CHL,Yes,Yes,Yes
1296250598157762560,w34,Mexico,Yes,MEX,Don't know,No,Yes
1296250484517294080,w34,Mexico,Yes,MEX,Yes,Yes,Yes
1296250099220099072,w34,Mexico,Yes,MEX,Yes,Yes,Yes
1296250058795446272,w34,Australia,Yes,AUS,Don't know,No,Yes
1296249885721681920,w34,Indonesia,Yes,IDN,Don't know,No,Yes
1296249677550104576,w34,Argentina,No,ARG,Don't know,No,No
1296249613436026880,w34,Venezuela - Bolivarian Republic of,No,VEN,Don't know,No,No
1296249602107043840,w34,Canada,No,CAN,Don't know,No,No
1296249476248514560,w34,China,Yes,CHN,Yes,Yes,Yes
1296249380362756096,w34,Brazil,No,BRA,Yes,Yes,Yes
1296249362029240320,w34,United States,Yes,USA,Yes,Yes,Yes
1296249317917949952,w34,Serbia,No,SRB,Don't know,No,Yes
1296249285332393984,w34,Mexico,Yes,MEX,Yes,Yes,Yes
1296249210061217792,w34,China,No,CHN,Yes,No,Yes
1296249140616208384,w34,India,Yes,IND,Yes,Yes,No
1296249096752312320,w34,United States,No,USA,Don't know,Yes,No
1296249068734181376,w34,United States,No,USA,Don't know,No,No
1296248928938029056,w34,China,No,CHN,Don't know,No,No
1296248777465004032,w34,Bolivia - Plurinational State of,Yes,BOL,Yes,Yes,Yes
1296248495591043072,w34,Guatemala,Yes,GTM,Yes,Yes,Yes
1296248443262971904,w34,United States,No,USA,Don't know,No,Yes
1296248332323495936,w34,Argentina,Yes,ARG,Yes,Yes,Yes
1296248284147671040,w34,Philippines,Yes,PHL,Yes,Yes,Yes
1296247845960417280,w34,Mexico,Yes,MEX,Yes,Yes,Yes
1296247800338948096,w34,Philippines,No,PHL,Don't know,No,Yes
1296247706780753920,w34,Mexico,Yes,MEX,Don't know,Yes,Yes
1296247514404990976,w34,Argentina,Yes,ARG,Yes,Yes,Yes
1296247345550635008,w34,Spain,Yes,ESP,Yes,Yes,Yes
1296247321420857344,w34,Dominican Republic,No,DOM,Don't know,No,No
1296247165006671872,w34,Indonesia,Yes,IDN,Yes,Yes,Yes
1296247089429504000,w34,United States,No,USA,Yes,No,No
